state,Rate10,Number
Alabama,0.267199974,1
Alaska,0.435287153,3
Arizona,0.270361563,3
Arkansas,0.344572592,0
California,0.27338711,28
Colorado,0.197201274,9
Connecticut,0.148743201,3
Florida,0.371874986,13
Georgia,0.230507693,3
Hawaii,0.138803534,1
Idaho,0.160254216,1
Illinois,0.285658754,7
Indiana,0.197056621,2
Iowa,0.203635556,1
Kansas,0.268628701,1
Kentucky,0.124609371,5
Louisiana,0.413819895,3
Maine,0.06200986,0
Maryland,0.334835359,1
Massachusetts,0.295177111,1
Michigan,0.324056131,5
Minnesota,0.133824581,2
Mississippi,0.153783059,3
Missouri,0.334538232,2
Montana,0.241875077,0
Nebraska,0.176966198,1
Nevada,0.338765806,3
New Hampshire,0.099661802,1
New Jersey,0.158185614,5
New Mexico,0.459191429,0
New York,0.236125855,10
North Carolina,0.232951162,7
North Dakota,0.125695191,0
Ohio,0.138337172,3
Oklahoma,0.323790608,2
Oregon,0.153721963,4
Pennsylvania,0.206513056,9
Rhode Island,0.147366689,1
South Carolina,0.452570425,2
South Dakota,0.174019375,0
Tennessee,0.45322859,2
Texas,0.259639342,20
Utah,0.120492796,1
Virginia,0.124323628,3
Washington,0.171006563,8
West Virginia,0.223185356,0
Wisconsin,0.14704871,5
Wyoming,0.171949531,0
