State,Rate,Rate*10,Number
Alabama,0.49,4.9,1
Alaska,0.59,5.9,3
Arizona,0.61,6.1,3
California,0.53,5.3,28
Colorado,0.35,3.5,9
Connecticut,0.42,4.2,3
Delaware,0.66,6.6,0
Florida,0.47,4.7,13
Georgia,0.52,5.2,3
Hawaii,0.36,3.6,1
Idaho,0.43,4.3,1
Illinois,0.34,3.4,7
Indiana,0.38,3.8,2
Iowa,0.29,2.9,1
Kansas,0.33,3.3,1
Kentucky,0.27,2.7,5
Louisiana,0.32,3.2,3
Maine,0.18,1.8,0
Maryland,0.34,3.4,1
Massachusetts,0.13,1.3,1
Michigan,0.41,4.1,5
Minnesota,0.17,1.7,2
Mississippi,0.46,4.6,3
Missouri,0.53,5.3,2
Montana,0.31,3.1,0
Nebraska,0.27,2.7,1
Nevada,0.47,4.7,3
New Hampshire,0.19,1.9,1
New Jersey,0.22,2.2,5
New Mexico,0.34,3.4,0
New York,0.25,2.5,10
North Carolina,0.35,3.5,7
North Dakota,0.22,2.2,0
Ohio,0.45,4.5,3
Oklahoma,0.67,6.7,2
Oregon,0.36,3.6,4
Pennsylvania,0.38,3.8,9
Rhode Island,0.27,2.7,1
South Carolina,0.41,4.1,2
South Dakota,0.44,4.4,0
Tennessee,0.32,3.2,2
Texas,0.54,5.4,20
Utah,0.15,1.5,1
Virginia,0.36,3.6,3
Washington,0.24,2.4,8
West Virginia,0.32,3.2,0
Wisconsin,0.4,4,5
Wyoming,0.4,4,0
